epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.3227,0.49204,0.82846,1,0.41657,0.000329932,0.000329932,0.0673367
2,53.2863,0.37264,0.87865,1,0.27826,0.000641378,0.000641378,0.0343148
3,78.2066,0.36648,0.89738,1,0.2527,0.000930823,0.000930823,0.00127096
4,102.874,0.32329,0.89588,1,0.27754,0.000901,0.000901,0.000901
5,127.467,0.31584,0.86667,1,0.36045,0.000868,0.000868,0.000868
6,152.534,0.29982,0.88914,1,0.26305,0.000835,0.000835,0.000835
7,177.472,0.2717,0.88989,1,0.2506,0.000802,0.000802,0.000802
8,202.332,0.24469,0.91685,1,0.17613,0.000769,0.000769,0.000769
9,227.636,0.21612,0.92135,1,0.19049,0.000736,0.000736,0.000736
10,252.71,0.21694,0.92135,1,0.17046,0.000703,0.000703,0.000703
11,278.107,0.21079,0.91086,1,0.21739,0.00067,0.00067,0.00067
12,302.834,0.21038,0.94082,1,0.13313,0.000637,0.000637,0.000637
13,327.827,0.18735,0.93483,1,0.15233,0.000604,0.000604,0.000604
14,352.78,0.17872,0.94157,1,0.13009,0.000571,0.000571,0.000571
15,377.685,0.19232,0.95206,1,0.11915,0.000538,0.000538,0.000538
16,402.817,0.18236,0.94382,1,0.15092,0.000505,0.000505,0.000505
17,427.796,0.16118,0.94757,1,0.13052,0.000472,0.000472,0.000472
18,452.797,0.14487,0.94382,1,0.14997,0.000439,0.000439,0.000439
19,477.262,0.14599,0.94232,1,0.11992,0.000406,0.000406,0.000406
20,501.609,0.1304,0.94607,1,0.12554,0.000373,0.000373,0.000373
21,526.185,0.12916,0.95131,1,0.11522,0.00034,0.00034,0.00034
22,550.732,0.1171,0.95955,1,0.10076,0.000307,0.000307,0.000307
23,575.058,0.10121,0.95805,1,0.11935,0.000274,0.000274,0.000274
24,599.194,0.09972,0.93783,1,0.16051,0.000241,0.000241,0.000241
25,623.862,0.10264,0.94757,1,0.15812,0.000208,0.000208,0.000208
26,648.914,0.09365,0.9588,1,0.10502,0.000175,0.000175,0.000175
27,673.44,0.08475,0.9618,1,0.09249,0.000142,0.000142,0.000142
28,697.971,0.07953,0.9618,1,0.09457,0.000109,0.000109,0.000109
29,723.244,0.06768,0.95805,1,0.10885,7.6e-05,7.6e-05,7.6e-05
30,748.1,0.06394,0.9603,1,0.08938,4.3e-05,4.3e-05,4.3e-05
