epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,289.575,0.13901,0.21185,1.15354,0.97227,0,0.33637,0.85116,0.53945,0.50399,0.33637,0.85116,0.53921,0.50994,0.37826,0.23582,1.51946,0.71313,0,0.000370114,0.000370114,0.000370114
2,572.46,0.08929,0.10774,0.93471,0.92764,0,0.51547,0.72703,0.58558,0.55168,0.51547,0.72703,0.58558,0.54734,0.25028,0.18032,1.10779,0.54715,0,0.000738439,0.000738439,0.000738439
3,851.567,0.06914,0.09119,0.83858,0.91547,0,0.57273,0.77911,0.68644,0.66011,0.57273,0.77911,0.68636,0.6648,0.31324,0.16981,0.94543,0.62419,0,0.00109877,0.00109877,0.00109877
4,1132.45,0.05747,0.08015,0.78734,0.91019,0,0.58617,0.78964,0.6958,0.65639,0.58617,0.78964,0.6958,0.66095,0.30889,0.13662,0.93922,0.63367,0,0.00108408,0.00108408,0.00108408
5,1491.8,0.0479,0.06808,0.72457,0.90532,0,0.62106,0.73017,0.6874,0.64998,0.62106,0.73017,0.6874,0.66157,0.33519,0.13094,1.02663,0.66777,0,0.00106345,0.00106345,0.00106345
6,1775.46,0.04531,0.06116,0.68025,0.90428,0,0.63477,0.72891,0.69662,0.63737,0.63477,0.72891,0.69662,0.63513,0.41687,0.11577,1.0204,0.79279,0,0.00103732,0.00103732,0.00103732
7,2061.78,0.04467,0.06481,0.66301,0.90367,0,0.64972,0.73786,0.73013,0.68382,0.64972,0.73786,0.73013,0.71638,0.33473,0.11999,0.93435,0.68745,0,0.00100597,0.00100597,0.00100597
8,2347.17,0.03804,0.0602,0.62977,0.90156,0,0.62522,0.76431,0.70232,0.64231,0.62522,0.76431,0.70232,0.66404,0.43461,0.10237,1.03646,0.83371,0,0.000969744,0.000969744,0.000969744
9,2631.19,0.0375,0.05889,0.60075,0.90147,0,0.66154,0.78427,0.75128,0.71258,0.66154,0.78427,0.75128,0.71694,0.32953,0.10425,0.89414,0.67549,0,0.00092904,0.00092904,0.00092904
10,2917.4,0.03489,0.05577,0.58594,0.90066,0,0.65661,0.75765,0.74513,0.7017,0.65661,0.75765,0.74513,0.70193,0.31619,0.11741,0.93848,0.65796,0,0.000884305,0.000884305,0.000884305
11,3201.22,0.03432,0.05342,0.55619,0.89962,0,0.65471,0.7383,0.72908,0.68591,0.65471,0.7383,0.72908,0.68239,0.31603,0.09714,1.0598,0.6816,0,0.000836028,0.000836028,0.000836028
12,3486.62,0.03065,0.04902,0.53125,0.89862,0,0.66604,0.7362,0.72338,0.6766,0.66604,0.7362,0.72338,0.6787,0.37537,0.08624,1.1028,0.7553,0,0.000784738,0.000784738,0.000784738
13,3769.24,0.02846,0.04716,0.51022,0.89834,0,0.71346,0.72498,0.74626,0.67959,0.71346,0.72498,0.74626,0.68096,0.41461,0.08758,0.99708,0.80153,0,0.000730997,0.000730997,0.000730997
14,4052.59,0.02673,0.04286,0.4884,0.89734,0,0.65148,0.72889,0.7111,0.64048,0.65148,0.72889,0.7111,0.65042,0.43691,0.09194,1.08668,0.83234,0,0.000675395,0.000675395,0.000675395
